"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.6046258326407513","0.20942010165119332"
"20","9","5","6","-0.5784968704923268","0.3314993811554948"
"30","10","10","10","-0.5039432452599111","0.32918875225973654"
"40","13","13","14","-0.6107755964059973","0.17783549714031333"
"50","20","14","16","-0.6221337220591269","0.0540775812560152"
"60","25","14","21","-0.5637806549715996","0.27849788024959904"
"70","31","15","24","-0.620667194063677","0.04416809710638489"
"80","36","17","27","-0.604695432573384","0.2195477784726664"
"90","41","17","32","-0.6150375522441861","0.06451580049017101"
"100","48","17","35","-0.6325692823013889","0.012064420477241667"
