"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","3","5","-0.5296142679030243","0.3851116784164965"
"20","5","8","7","-0.5800758681540594","0.2683538331821379"
"30","9","11","10","-0.6304575192890739","0.026494609527761094"
"40","13","12","15","-0.40834904504205116","0.4550965986545027"
"50","19","14","17","-0.42144875691372374","0.4983937875029739"
"60","24","14","22","-0.19159653631450332","0.523176106886566"
"70","27","15","28","-0.38708044576051026","0.5076355628561349"
"80","33","15","32","-0.6335807093216644","0.010555046900861042"
"90","40","15","35","-0.4863131462530158","0.43397202881277214"
"100","44","18","38","-0.4487492406704958","0.45538919463085326"
