"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","1","6","-0.6749610437738226","0.15724353394747792"
"20","8","1","11","-0.5720667203512363","0.3111490093251129"
"30","15","1","14","-0.6168060947206444","0.14699068880193705"
"40","17","6","17","-0.5976222547108216","0.2333841357714593"
"50","21","7","22","-0.6357747756651095","0.01957728937264933"
"60","24","9","27","-0.6329378006950398","0.026488415948612957"
"70","31","11","28","-0.5822118011969604","0.2398356318445586"
"80","36","14","30","0.2079176840742731","0.24477125030597474"
"90","39","17","34","-0.5675904528092807","0.2814428514287511"
"100","44","18","38","0.2070405059027285","0.3338281017266519"
