"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","7","2","1","-0.8204939674514672","0.046606762136604446"
"20","10","4","6","-0.8314898706544178","0.01658453843216638"
"30","14","6","10","-0.8188308796934372","0.049038249413616494"
"40","18","10","12","-0.8298120705698719","0.027675529494367468"
"50","22","12","16","-0.7841582365224715","0.27096955392011474"
"60","25","16","19","-0.6981746702706587","0.40637681947047605"
"70","28","20","22","-0.7164915961574043","0.3893429858270793"
"80","33","21","26","-0.8311489314790892","0.018148963888090997"
"90","38","25","27","-0.7808353438426353","0.24671174946565053"
"100","42","27","31","-0.8294834067378809","0.024449365045977334"
