"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","0","4","6","0.5417383185917002","0.2106827097212382"
"20","0","8","12","0.5714998377297231","0.1964330983733995"
"30","0","11","19","0.5600033920727274","0.2040208800158954"
"40","0","14","26","0.45004749963496643","0.2754401655036581"
"50","0","17","33","0.425706356667027","0.27264595185863716"
"60","1","21","38","0.0523288337526089","0.0808845655151362"
"70","1","26","43","0.14534276668915866","0.2236283832214477"
"80","1","31","48","0.28202400443829556","0.29088565261959165"
"90","1","36","53","0.3777035357242757","0.2894585282288302"
"100","1","39","60","0.350364655336909","0.2693977965815509"
