"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","3","2","-0.611208862031358","0.16816677544168654"
"20","9","3","8","-0.6296594811980379","0.027476422378776313"
"30","12","6","12","-0.6215405987391965","0.13846292683791303"
"40","15","9","16","-0.608467921678237","0.21829966813259888"
"50","19","11","20","-0.5771281678847481","0.28370102295755156"
"60","24","12","24","-0.412873109780691","0.4861217403230815"
"70","30","13","27","-0.5202637591923016","0.3711281498168653"
"80","34","16","30","-0.5656865993782338","0.2837114946558523"
"90","36","20","34","-0.6049347484982421","0.18820935230339214"
"100","43","21","36","-0.584602110096185","0.23703780668392646"
