"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","3","5","-0.0022026537136086025","0.12126734104437548"
"20","5","6","9","-0.6306444617944676","0.0210038815991146"
"30","13","7","10","-0.6319718862709423","0.014922471070649741"
"40","20","9","11","-0.6193159420294289","0.04626811068274572"
"50","24","12","14","-0.6035007373358456","0.1869874879235791"
"60","27","16","17","-0.6216432653610569","0.04261680029219812"
"70","31","18","21","-0.6308018862678415","0.03997240995550144"
"80","33","22","25","-0.6005324509002784","0.20592547858306992"
"90","42","22","26","-0.6313336136123655","0.018149452723161763"
"100","44","25","31","-0.60652204770213","0.17047356233770558"
