"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","3","4","-0.6688886614967986","0.12997989626234044"
"20","3","7","10","-0.2875339537616884","0.5845566403358612"
"30","5","12","13","-0.5644024607032188","0.33973815091179227"
"40","7","15","18","-0.5249286583916684","0.38483530846911773"
"50","10","17","23","-0.4800552257481612","0.44054784874484626"
"60","10","22","28","0.31207798938396986","0.18038525050177018"
"70","13","24","33","-0.5498508453582558","0.3370843603768701"
"80","16","24","40","-0.6379388365074332","0.03947363309708098"
"90","19","27","44","-0.6179892350219753","0.15405464155312323"
"100","23","31","46","-0.5348171090111717","0.32333229367372807"
