"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","1","4","-0.5606579202411608","0.3320155083352753"
"20","9","4","7","-0.6077291428370182","0.21735262083382523"
"30","13","6","11","-0.6207501413174978","0.17103359501827117"
"40","17","9","14","-0.5953352788701682","0.22798207730938316"
"50","19","13","18","-0.48870899328726686","0.4343075627669435"
"60","21","14","25","-0.5937084350105154","0.25098824726711333"
"70","27","15","28","-0.6337990428895195","0.04097909921009889"
"80","32","17","31","-0.6106532948725939","0.136224100209055"
"90","39","19","32","-0.6362353963638756","8.387115618842302E-5"
"100","43","20","37","-0.6016406939275184","0.15714849784478035"
