"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","4","3","3","0.21162057084553357","0.10690251597732241"
"20","7","7","6","-0.5671658964044902","0.2875781573261124"
"30","11","9","10","-0.5937223138707497","0.2352396610878825"
"40","14","11","15","-0.5655547089090158","0.28636388552269376"
"50","21","13","16","-0.5625883235236788","0.28271535607748083"
"60","27","16","17","-0.6226372758054943","0.041444979728638885"
"70","34","17","19","-0.6198562407584705","0.04575998249904956"
"80","36","21","23","-0.5846231661103375","0.24455917235403812"
"90","41","23","26","-0.6334537253044833","3.1156710079181047E-5"
"100","45","23","32","-0.6089830209120736","0.17331612842883065"
