"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","4","3","3","-0.7661108753063509","0.2819126328562754"
"20","9","4","7","-0.8231950873712286","0.11805280644138415"
"30","14","7","9","-0.813498628833565","0.1623633768249593"
"40","14","11","15","-0.3030194578548619","0.6141554268527841"
"50","19","13","18","-0.8181931375434963","0.04569519230810527"
"60","24","15","21","-0.8019265522662815","0.2013189486867655"
"70","29","16","25","-0.8190444987372282","0.10473175861436519"
"80","35","17","28","-0.8244319052543128","0.03716808371982446"
"90","39","18","33","-0.8051519875030768","0.19814618819841992"
"100","44","21","35","-0.8007513690001721","0.16011293089798365"
