"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","1","2","7","0.0735391111006141","0.07781349925638414"
"20","3","4","13","-0.6086410738826807","0.20172357020818069"
"30","6","5","19","-0.5047130811462499","0.40224428518835764"
"40","12","6","22","-0.5965063006919673","0.22458273736211118"
"50","17","7","26","0.1550508965171309","0.32733353658258607"
"60","22","7","31","-0.5028759464442958","0.33529093323847214"
"70","27","8","35","-0.4361105226121421","0.42608466906061543"
"80","32","10","38","-0.3293828906528518","0.4544027258576641"
"90","38","12","40","-0.5954165894243131","0.23449817439731668"
"100","46","13","41","-0.4412555868262923","0.48068948789710986"
