"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","4","3","-0.5209464477775769","0.3510552908768302"
"20","7","4","9","-0.4000577886486621","0.48164647055259446"
"30","8","7","15","-0.38509334610257595","0.4731731879813394"
"40","11","11","18","-0.6168116834762355","0.060561315006038174"
"50","18","14","18","-0.6206742989789742","0.04416657929982694"
"60","22","15","23","-0.592283718889911","0.21113768775585195"
"70","30","17","23","-0.6090033918117204","0.14310142540223167"
"80","31","19","30","-0.6284653455785678","0.04438197806275897"
"90","36","20","34","-0.6230017360153951","0.04019264916327529"
"100","39","22","39","-0.6024648231066763","0.18498434094511346"
