"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","6","1","3","-0.6000814014813427","0.22871973941653728"
"20","6","4","10","-0.34179197671641576","0.47758362712633484"
"30","6","6","18","-0.19836690505511964","0.5313715517819171"
"40","6","11","23","-0.04254013955660908","0.540847089151926"
"50","11","12","27","0.08584920053796255","0.5432820629835196"
"60","14","14","32","0.24477103753611135","0.4879491905124267"
"70","18","14","38","-0.5330660995984019","0.34716308606012536"
"80","20","16","44","-0.5568153414976946","0.2779372767956826"
"90","23","18","49","-0.5656614831847107","0.2951652305611904"
"100","27","21","52","-0.5616863925273963","0.30695752085672723"
