"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","1","5","4","0.3377986317184923","0.452096611243757"
"20","4","6","10","-0.46137148991204485","0.5234738580541001"
"30","7","8","15","-0.5176702213907953","0.35327088271899976"
"40","12","11","17","-0.22541926274347543","0.5875629665760831"
"50","17","12","21","-0.510912353498494","0.3682494760234626"
"60","19","14","27","-0.4022677361814177","0.49343049139806033"
"70","24","15","31","-0.6334492917199013","0.010655177887692787"
"80","31","15","34","-0.5329677582019843","0.35779394707326323"
"90","37","15","38","-0.6302182777130692","0.023391734400417648"
"100","43","16","41","-0.6318059457143368","0.016637455125439377"
