"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","3","5","-0.6337659511338568","0.01814562034017164"
"20","4","5","11","-0.44132027424689174","0.48313956753065734"
"30","11","7","12","-0.6197561963428466","0.16796974295797718"
"40","20","7","13","-0.5947391154682604","0.23309452965422517"
"50","26","8","16","-0.5517985727381683","0.34091393239816736"
"60","31","11","18","-0.5884266507396462","0.24091382658566837"
"70","34","16","20","-0.608557981272381","0.18126296347722057"
"80","36","18","26","-0.5674670834871227","0.28515530122175053"
"90","41","20","29","-0.6020432454512343","0.217143813588106"
"100","45","22","33","-0.598759231410117","0.19401305781881079"
