"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","3","2","-0.358443594058295","0.48711993738378595"
"20","8","7","5","-0.5827179216671315","0.23860920096521307"
"30","12","7","11","-0.5982049233998273","0.21011299714731438"
"40","15","9","16","-0.5266334149639174","0.32366435841270536"
"50","18","11","21","-0.6041013844745695","0.20712657999060613"
"60","20","14","26","-0.565232224480457","0.24955556969222586"
"70","26","14","30","-0.6205998704724642","0.04440702540542788"
"80","32","15","33","-0.6200638147678348","0.14828636312338944"
"90","35","18","37","-0.5770441598965238","0.24691061512043472"
"100","39","19","42","-0.6323339615050838","0.012895186419115294"
