"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","0","1","9","0.6547466279665413","0.1618975537352012"
"20","0","3","17","0.572889182224613","0.21094546635215927"
"30","0","6","24","0.581367475598107","0.2096139790463571"
"40","0","13","27","0.5907800612533822","0.19995093384067433"
"50","0","15","35","0.587441282890177","0.194170497005114"
"60","0","21","39","0.5743454902495692","0.2054423831392874"
"70","0","27","43","0.591370766693794","0.21089122301943763"
"80","0","29","51","0.5977335908869531","0.20300592058059258"
"90","0","31","59","0.59174942048238","0.2089876349898185"
"100","0","36","64","0.5840987876995962","0.22648813686599845"
