"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","3","5","-0.6227865710410337","0.13580009967096673"
"20","6","5","9","-0.6061338664899316","0.1690068329416528"
"30","8","8","14","-0.5847998402095479","0.2220080549823863"
"40","10","11","19","-0.5381804775736563","0.3270480428267875"
"50","13","13","24","-0.6042429847001618","0.1760968862390834"
"60","14","16","30","-0.5794587690202185","0.2589328027013602"
"70","21","17","32","-0.4542535770254195","0.3886801378530912"
"80","25","17","38","-0.6333349867879078","6.7545626693892376E-6"
"90","31","19","40","-0.6194682174382501","0.05745477921399265"
"100","33","22","45","-0.5702608190140123","0.2670958644676339"
