"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","4","1","-0.5995280197529079","0.19298811154023926"
"20","9","6","5","-0.6182008221428981","0.15385892538705676"
"30","14","10","6","-0.5306836916353216","0.3114624541685375"
"40","23","10","7","-0.6057497310741241","0.19434668547601158"
"50","28","12","10","-0.6026966656584967","0.21113617920463362"
"60","31","14","15","-0.5941818490867065","0.21150629392034698"
"70","34","16","20","-0.6293361956481117","0.025509775843850894"
"80","41","17","22","-0.6060026886882168","0.1581620096500898"
"90","49","18","23","-0.6200178790414196","0.13781380702341878"
"100","55","20","25","-0.6220673780001074","0.14477420522528406"
