"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","0","5","5","0.578675945306161","0.2233794626628946"
"20","0","7","13","0.5895556608828988","0.20744205388300846"
"30","0","9","21","0.5855229904310272","0.20860388958652004"
"40","1","12","27","0.48994311891138503","0.37157804562944263"
"50","1","16","33","0.5129137057902458","0.3545494706799228"
"60","1","18","41","0.5069056733157816","0.3406542005104987"
"70","5","19","46","0.34339676278892833","0.5069591236816613"
"80","8","20","52","0.2158607669442286","0.5671697878988069"
"90","13","23","54","0.05476346043056294","0.6007556325954985"
"100","16","25","59","0.05884161159582728","0.6017702932418839"
