"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.5706992639111961","0.2687567664536273"
"20","12","3","5","-0.6186247696618509","0.058621476075672564"
"30","16","5","9","-0.6204452722649306","0.14132811437747997"
"40","23","6","11","-0.6207061410569429","0.04417551072292254"
"50","28","8","14","-0.6174950094587337","0.1455951745621975"
"60","32","10","18","-0.6028184671927141","0.20207173612367943"
"70","36","11","23","-0.6330001174023739","0.007465242933382922"
"80","39","13","28","-0.6100544698330561","0.17805455193590095"
"90","43","14","33","-0.5716502560698404","0.27151932214688035"
"100","47","16","37","-0.5869780532716473","0.21540347807012153"
"110","50","20","40","-0.620246206180515","0.04503797849568848"
"120","57","22","41","-0.6208145111802312","0.04432971175132222"
"130","61","24","45","-0.5509231155435489","0.2509292191439552"
"140","67","25","48","-0.6326689125807701","0.010567651717061954"
"150","72","26","52","-0.628459932478831","0.04438971159696903"
"160","77","26","57","-0.5920832086114307","0.22395249483857296"
"170","81","26","63","-0.6094677387154094","0.15481090156018074"
"180","83","30","67","-0.5051631455464846","0.36988173787986656"
"190","88","32","70","-0.6196613152946527","0.045759718115266544"
"200","92","34","74","-0.6120278935935096","0.17201987558154036"
"210","95","35","80","-0.620541104244972","0.044624907558899994"
"220","100","37","83","-0.610326152319969","0.16904068867323696"
"230","105","39","86","-0.613520078589451","0.13803082340486542"
"240","109","41","90","-0.5833237718705446","0.2359297375729736"
"250","114","42","94","-0.6206644926191666","0.04418158016571378"
"260","117","43","100","-0.6149293852689284","0.15780361516377275"
"270","120","47","103","-0.621731596342894","0.14750886941171473"
"280","124","49","107","-0.6059895263551595","0.16475708496231617"
"290","127","52","111","-0.5981409485714638","0.20301192762914833"
"300","130","54","116","-0.547881998244404","0.30122939783838065"
"310","136","57","117","-0.631996455490147","0.014880369282508391"
"320","142","57","121","-0.6313282037803263","0.018172541946655518"
"330","146","60","124","-0.6289887735793606","0.026566443798848306"
"340","151","62","127","-0.5808770036535965","0.23557358194418662"
"350","157","64","129","-0.6223281386170352","0.04140470772532913"
"360","162","68","130","-0.6316664343310056","0.016588687361376232"
"370","167","69","134","-0.6074699688793137","0.15390554017615068"
"380","171","73","136","-0.6179833876050553","0.0482292288782013"
"390","175","77","138","-0.5746754793741562","0.25599529210554467"
"400","180","81","139","-0.6189846972767602","0.04678727380278497"
"410","182","85","143","-0.5972862166210794","0.19144025020333566"
"420","188","86","146","-0.6319988551473821","0.014852969918657508"
"430","193","88","149","-0.6044509339343794","0.1683637408792779"
"440","199","88","153","-0.6006274980278262","0.21234555322425322"
"450","204","90","156","-0.6229785378400106","0.040284745014881315"
"460","207","91","162","-0.5218578209689527","0.33762507939265435"
"470","213","94","163","-0.6112425785023515","0.16368139583690952"
"480","215","95","170","-0.5821290711188943","0.23718867824661152"
"490","218","97","175","-0.5483783645551331","0.3070598128651224"
"500","224","99","177","-0.5921154774584462","0.21998055552012857"
"510","230","100","180","-0.6186613524272712","0.04723663707319749"
"520","236","102","182","-0.6333338691899204","2.0357411108015313E-6"
"530","239","103","188","-0.5807969557565833","0.2338222545637786"
"540","244","106","190","-0.5975952609168458","0.2248985892888591"
"550","250","106","194","-0.6326665520471506","0.010526665962367574"
"560","254","108","198","-0.6195786759994256","0.04603153704362828"
"570","258","109","203","-0.6095348130500603","0.1821157741741223"
"580","262","109","209","-0.6026657401798471","0.19435527332405214"
"590","268","110","212","-0.6035317586940336","0.1885654602355751"
"600","272","112","216","-0.6183229243221772","0.14782467544054195"
"610","276","115","219","-0.6116170285374438","0.14295616934122607"
"620","282","116","222","-0.6220347289072614","0.1346383067528696"
"630","288","118","224","-0.6008529472447398","0.1935392026854428"
"640","291","120","229","-0.6326655132508406","0.010552845033244782"
"650","293","126","231","-0.48487490630797797","0.3806713945520835"
"660","296","127","237","-0.5849350829294893","0.2142750614593332"
"670","300","130","240","-0.5917334821343623","0.2082274661800901"
"680","304","130","246","-0.6213090634443648","0.04317810695400248"
"690","306","134","250","-0.5157214655220215","0.343526981624129"
"700","310","135","255","-0.6209958669049841","0.043648126101890394"
"710","315","138","257","-0.6313313972911927","0.018158556025700625"
"720","320","139","261","-0.6294657966529619","0.04256503018035751"
"730","325","139","266","-0.6304670730808605","0.040642140173062384"
"740","328","142","270","-0.5258138422915417","0.344926493806031"
"750","333","144","273","-0.6293324408078831","0.025512633676134974"
"760","338","147","275","-0.6216790678403143","0.14539290832298538"
"770","343","149","278","-0.6139321584489388","0.17226849502802774"
"780","349","150","281","-0.6229937494883997","0.040227033310247996"
"790","355","151","284","-0.6094339600889516","0.14721231685296876"
"800","358","154","288","-0.6206581555895843","0.04420291860908209"
"810","363","157","290","-0.6279953316911997","0.029353335078673687"
"820","369","158","293","-0.5995880820070728","0.1806561377913324"
"830","376","159","295","-0.5705049567550258","0.25566205199362857"
"840","382","160","298","-0.607536352925542","0.1424610745246472"
"850","385","163","302","-0.6287962066076337","0.043798661565173626"
"860","388","165","307","-0.6219833218559703","0.04203382368402798"
"870","394","165","311","-0.6180613253206959","0.059219775157810954"
"880","398","166","316","-0.6333348104403086","5.29975176213055E-6"
"890","402","167","321","-0.6206667100415099","0.14831024046776498"
"900","404","170","326","-0.5868641593658853","0.24169786549852662"
"910","408","172","330","-0.6198667310897724","0.14646342711051716"
"920","412","176","332","-0.590233927290644","0.1998630506933878"
"930","416","178","336","-0.5097498154196874","0.36131980067655434"
"940","418","180","342","-0.5462509381117261","0.2845505794423329"
"950","424","182","344","-0.6316143747266931","0.017073224003538445"
"960","428","183","349","-0.6175999722250546","0.04884942094031974"
"970","431","187","352","-0.5813786541545917","0.21604694259606222"
"980","435","190","355","-0.6329998837779787","0.007452051680225109"
"990","438","191","361","-0.5947862514991732","0.23190814512245936"
"1000","445","192","363","-0.6303286880943577","0.022173104958044528"
