"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.5737902272956447","0.3142113771306141"
"20","9","5","6","-0.5729092874483539","0.2782377807496094"
"30","14","7","9","-0.6301202194087397","0.04128665137347042"
"40","18","9","13","-0.5990207772487106","0.22179173891328316"
"50","25","10","15","-0.5977540955001378","0.20382433111453646"
"60","28","14","18","-0.6322048951243584","0.01292689954487108"
"70","36","14","20","-0.6315241431279518","0.016680832241110354"
"80","41","17","22","-0.5826469775899813","0.22606460925492625"
"90","46","19","25","-0.5565709535853721","0.2515969953342253"
"100","52","21","27","-0.6005930571625913","0.20104920737030008"
