"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","1","4","-0.6054106843880758","0.21464377535108867"
"20","8","1","11","-0.5835656116699129","0.21887568713692965"
"30","11","2","17","-0.5572930545869201","0.2963018248047108"
"40","15","5","20","-0.6169884057184002","0.04966419924274807"
"50","17","11","22","-0.5842408157376078","0.2422507977573356"
"60","20","15","25","-0.6199972644068261","0.0453077909417237"
"70","24","19","27","-0.5628582996171806","0.27982060264113895"
"80","31","21","28","-0.6108332535441952","0.19968985619960722"
"90","34","22","34","-0.6309652477246644","0.01964047607570409"
"100","39","24","37","-0.6219954996613224","0.04198796293092871"
