"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","5","2","-0.5793796050545472","0.29713440156442256"
"20","8","7","5","-0.6211150210410914","0.055431106442116955"
"30","13","8","9","-0.606501634232774","0.188456123942981"
"40","17","8","15","-0.630802221008436","0.03996980405319951"
"50","22","11","17","-0.5777810668995933","0.26035306129051283"
"60","29","11","20","-0.6191324170910141","0.057863540304124494"
"70","35","12","23","-0.5816794682794315","0.23937837169013718"
"80","41","14","25","-0.6308004189365006","0.03997478154094883"
"90","45","16","29","-0.6023250809407573","0.21484265135574504"
"100","50","16","34","-0.6062479360846015","0.16336802943172082"
"110","56","16","38","-0.6125959079920476","0.16685093459638703"
"120","65","16","39","-0.6301320553111884","0.04129670249535868"
"130","69","18","43","-0.6046426028354106","0.20610121352267166"
"140","74","19","47","-0.616968195336248","0.1499253694086274"
"150","79","21","50","-0.5917258122224129","0.20353984535812772"
"160","83","21","56","-0.620199705115232","0.15218327207746646"
"170","87","22","61","-0.5903799348107788","0.22064888396214627"
"180","91","24","65","-0.584355472523627","0.24070062804720604"
"190","95","24","71","-0.5906136924996094","0.24654435704119718"
"200","100","25","75","-0.6304511975177098","0.04065419025762175"
"210","108","25","77","-0.6291272429451776","0.043192089266304766"
"220","113","27","80","-0.6164515059535007","0.06093620229938007"
"230","119","28","83","-0.5999303084806188","0.18024276108381057"
"240","125","29","86","-0.6230666453819494","0.13866555887619203"
"250","131","30","89","-0.61126451736156","0.17462303224277267"
"260","134","31","95","-0.5817300636872245","0.24464686560588184"
"270","137","31","102","-0.5279817551304338","0.3185180695344386"
"280","141","33","106","-0.5953207985291357","0.17987305702968095"
"290","146","34","110","-0.6304666310190753","0.04064239546008094"
"300","151","35","114","-0.5663952136673137","0.27698560938175887"
"310","156","38","116","-0.6191236314441739","0.05787901060137058"
"320","163","40","117","-0.5869920577599402","0.2086351286207606"
"330","168","42","120","-0.59004476864923","0.19479401556537768"
"340","173","43","124","-0.6194095988743443","0.05761724951680224"
"350","177","45","128","-0.6201982399548056","0.14765880893148434"
"360","181","47","132","-0.6151110045114382","0.06237613345943616"
"370","188","50","132","-0.6163313655809071","0.14699905709806071"
"380","194","52","134","-0.5981745448661336","0.2067114592683308"
"390","197","52","141","-0.5446780981779797","0.32730897083469673"
"400","200","54","146","-0.6157671002647566","0.06169942641271929"
"410","207","54","149","-0.6167909653099006","0.060557005213998566"
"420","212","56","152","-0.6249332627349221","0.12999373841168396"
"430","218","56","156","-0.6178647471902541","0.14701919872628513"
"440","223","60","157","-0.6154622706525459","0.06198452403005987"
"450","228","63","159","-0.6199007058762811","0.05727911654204605"
"460","232","66","162","-0.6294334883017038","0.04265440537360081"
"470","237","69","164","-0.6304655209851782","0.04064520035273057"
"480","241","72","167","-0.617755062611044","0.14053936079295673"
"490","244","74","172","-0.6024526375197932","0.195103610039573"
"500","248","78","174","-0.554050894970909","0.28611355027746765"
