"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.5201095221317888","0.39192698671371584"
"20","9","4","7","-0.4943636792479666","0.4095371997715044"
"30","14","7","9","-0.4886749414595199","0.3867654236929364"
"40","18","9","13","-0.5893095129932087","0.19734432102248298"
"50","19","11","20","-0.6206666791939107","0.044208384183189606"
"60","27","12","21","-0.6312174957619126","0.018197925674067306"
"70","32","14","24","-0.6000586782875482","0.1787956088592705"
"80","35","19","26","-0.5616236571080715","0.2851445927658028"
"90","40","21","29","-0.5845658809650457","0.22386736486705328"
"100","43","26","31","-0.6301320437073661","0.04130673441838488"
