"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.6153211681251749","0.14995449355294513"
"20","11","3","6","-0.5844661396070916","0.25214486592088736"
"30","15","4","11","-0.6101879930495214","0.17888217457427108"
"40","18","7","15","-0.6017924894534405","0.16928839762605719"
"50","23","8","19","-0.6124032392277446","0.14250301119513303"
"60","28","12","20","-0.6276666012269045","0.045611697527192956"
"70","32","14","24","-0.6164663421476467","0.060901149172177566"
"80","37","15","28","-0.6306362097488749","0.02092911798458856"
"90","41","17","32","-0.6042377259885259","0.17765141314463798"
"100","45","21","34","-0.5935183810090778","0.20826429161545612"
"110","49","23","38","-0.5536925076361247","0.29023800075462464"
"120","53","27","40","-0.6216471952126014","0.04257821837817579"
"130","59","29","42","-0.6193384068206587","0.05777164231460768"
"140","64","31","45","-0.5826238181106708","0.21510638907854418"
"150","67","34","49","-0.6176566312782135","0.048663729172596606"
"160","72","36","52","-0.6287757264795589","0.04380134347506032"
"170","77","38","55","-0.6157644568969184","0.16123406352937938"
"180","83","39","58","-0.5775926399612654","0.24990916639535016"
"190","89","43","58","-0.6106828846012827","0.14752299766773902"
"200","91","46","63","-0.6011768902714507","0.1826431747007069"
"210","94","49","67","-0.5739137606276643","0.2405002722200882"
"220","101","51","68","-0.5942829809099163","0.21036274777881075"
"230","106","53","71","-0.6069915370902536","0.1878595102246118"
"240","110","56","74","-0.604995653468139","0.20260738146550294"
"250","118","57","75","-0.6055265560633408","0.18034425083135824"
"260","120","61","79","-0.6191245205992578","0.0578766423168133"
"270","125","64","81","-0.604788403202161","0.1606861714690551"
"280","129","66","85","-0.6323245883510193","0.012919544178210288"
"290","132","67","91","-0.5978403084712629","0.19306120438902236"
"300","137","69","94","-0.5976435922341315","0.17897313078539018"
"310","141","69","100","-0.6167849318913058","0.06057374095858411"
"320","143","74","103","-0.5834441494652386","0.23824787701483216"
"330","146","77","107","-0.5925966040815073","0.22855383770607382"
"340","151","78","111","-0.5909600133680204","0.19468621622046034"
"350","154","81","115","-0.6178614786582393","0.15605267750970794"
"360","159","83","118","-0.6333335510877572","1.6564261291310453E-6"
"370","160","86","124","-0.5612345855002563","0.25349393987682656"
"380","166","88","126","-0.6333361000502346","1.71611681192772E-5"
"390","171","89","130","-0.6170165061975165","0.14157925390494305"
"400","173","89","138","-0.6256585267771981","0.03496195470719816"
"410","176","92","142","-0.6304632142806376","0.040642800023369174"
"420","183","92","145","-0.5569719939881425","0.297219428100334"
"430","188","94","148","-0.5647994351146526","0.2778064481487106"
"440","193","97","150","-0.5977822606328548","0.22583237418476249"
"450","197","100","153","-0.590722280275367","0.21843424494965527"
"460","202","101","157","-0.6333332004556589","2.210213794217251E-6"
"470","206","104","160","-0.6118184231192864","0.151310415950017"
"480","210","107","163","-0.5937849745059737","0.1875601147990114"
"490","215","107","168","-0.6297960266131238","0.04194345235763033"
"500","219","110","171","-0.6029065995948556","0.16690416651982176"
"510","224","111","175","-0.6199843659146905","0.04527001062977542"
"520","229","112","179","-0.6084908641929141","0.18621373552571927"
"530","234","112","184","-0.6083025239127244","0.15821134436927825"
"540","238","112","190","-0.6167906440461628","0.16229083172219136"
"550","240","114","196","-0.533432049383639","0.2989724334450779"
"560","244","115","201","-0.6242611861624627","0.13367587547538548"
"570","250","116","204","-0.5831645790257847","0.23947333842248839"
"580","252","118","210","-0.5743827920472154","0.2696138687662784"
"590","259","118","213","-0.598971697985435","0.19062420449957074"
"600","264","121","215","-0.630463565282534","0.04064610287532954"
"610","268","125","217","-0.6020657248590487","0.20030569711581425"
"620","274","125","221","-0.5671427286488079","0.23021996738424116"
"630","277","129","224","-0.6219951245611665","0.04197411861356722"
"640","284","129","227","-0.5951548259582531","0.1952236802516137"
"650","288","132","230","-0.6213264941901564","0.04310632464897962"
"660","295","134","231","-0.6281324218540283","0.0449660301862894"
"670","300","137","233","-0.5974874952962016","0.17789704506595255"
"680","304","139","237","-0.6110617989243067","0.17974860133190088"
"690","307","141","242","-0.6044590170248119","0.1701944178159719"
"700","310","142","248","-0.5227264563285076","0.3194542932174536"
"710","315","144","251","-0.6213174545305092","0.04314147038573848"
"720","317","148","255","-0.5936573727814298","0.1973508714067722"
"730","322","151","257","-0.6173283793113836","0.04911348910718248"
"740","327","153","260","-0.6291324281275409","0.04318236403723484"
"750","331","156","263","-0.617117044765735","0.06020541656434656"
"760","338","157","265","-0.6287952342667844","0.043790867372096066"
"770","344","157","269","-0.6154658279080782","0.1666027707957943"
"780","349","158","273","-0.6199976201739846","0.04522355185506"
