"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","7","2","1","-0.5669810369635846","0.29566313549216544"
"20","11","2","7","-0.6168030860303915","0.06054369200150314"
"30","17","3","10","-0.5908207327128175","0.2036573118560465"
"40","21","6","13","-0.5882037391450105","0.2089994309950222"
"50","25","8","17","-0.6104696917771523","0.14734953828238753"
"60","30","11","19","-0.6297638326016542","0.04193781186121134"
"70","35","12","23","-0.5798990534939271","0.2277203081446934"
"80","41","14","25","-0.6187964619132896","0.05826985855726864"
"90","45","15","30","-0.6005750029016486","0.184216994649214"
"100","51","15","34","-0.5910545359853409","0.22436705733680268"
"110","54","19","37","-0.5729215981445996","0.2682665654755175"
"120","59","19","42","-0.6181339450996131","0.05903487020036849"
"130","64","20","46","-0.5782333122356993","0.24662685889653888"
"140","69","22","49","-0.5980315735598364","0.21493371459954072"
"150","73","25","52","-0.6284612942947688","0.04438292150609339"
"160","78","26","56","-0.5977856899356939","0.2082252516494485"
"170","82","29","59","-0.5909253842569607","0.19119553075125367"
"180","85","33","62","-0.5392920105675589","0.29678974351603904"
"190","89","35","66","-0.6163164596761438","0.14810194251720307"
"200","94","36","70","-0.595392458790803","0.1815977478828327"
"210","98","39","73","-0.6304596647849521","0.04064134793680832"
"220","103","40","77","-0.6164626161519778","0.06091057094466711"
"230","109","42","79","-0.6297987792682365","0.0419372602212687"
"240","112","48","80","-0.5613779387918147","0.27478427253744636"
"250","118","48","84","-0.6294651960493193","0.04256433869633439"
"260","125","50","85","-0.6297989755329122","0.04193671523391436"
"270","128","53","89","-0.6141236184321996","0.06337548725427183"
"280","131","54","95","-0.6185359698123435","0.13801886926664012"
"290","139","54","97","-0.6271168611480477","0.04668157763071507"
"300","146","55","99","-0.6284634511184162","0.044383753710601714"
"310","153","57","100","-0.6254650549876395","0.04931254374444704"
"320","158","59","103","-0.6161318351197792","0.061266234715425034"
"330","163","60","107","-0.6169989598410699","0.16016346179897484"
"340","166","62","112","-0.6169980813791782","0.15219146405072848"
"350","170","65","115","-0.6011921016074475","0.17714226791754922"
"360","172","68","120","-0.512990763132384","0.3163683843081023"
"370","174","70","126","-0.5694556053508487","0.26273121933166926"
"380","178","72","130","-0.6181321279090861","0.05903382488919558"
"390","185","73","132","-0.6047320758917297","0.1889625363609139"
"400","190","74","136","-0.6137976625760568","0.16583295619585667"
"410","194","76","140","-0.574279752401226","0.2690937286499214"
"420","199","77","144","-0.6146649429988919","0.15882325428930777"
"430","202","79","149","-0.577259790394103","0.24805400081123732"
"440","207","80","153","-0.6171311613238498","0.0601707666292745"
"450","211","81","158","-0.6304645117018022","0.04064499907673128"
"460","216","82","162","-0.6297935294354008","0.04196139943858649"
"470","222","85","163","-0.5924538327547375","0.2173764570097512"
"480","226","88","166","-0.5595755444070405","0.2501976918726826"
"490","230","89","171","-0.6052623191454652","0.18967869000735896"
"500","236","91","173","-0.6187730615850545","0.058324873476259184"
