"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","2","6","-0.5542759399531105","0.344022819791703"
"20","5","3","12","-0.38538584296872647","0.5128317790146097"
"30","12","5","13","-0.22366487902352217","0.6055991631079604"
"40","18","6","16","-0.5318966907511373","0.326831175193593"
"50","22","8","20","-0.5472769830965651","0.32854982109260006"
"60","29","8","23","-0.611174829611332","0.16740147983091516"
"70","37","8","25","-0.5909164701609994","0.19147350109160072"
"80","44","9","27","-0.6210876398704002","0.04365813586480137"
"90","47","13","30","-0.6160694644182874","0.14933906827403"
"100","51","14","35","-0.5660627471343059","0.2683188728675468"
"110","57","15","38","-0.6227247550817863","0.040797638597739966"
"120","62","17","41","-0.6024162126691316","0.20384225662652747"
"130","67","19","44","-0.626501818211309","0.04773789007400683"
"140","71","22","47","-0.6317008323157637","0.016585271166138966"
"150","80","22","48","-0.6210316059502274","0.043632293156952044"
"160","83","26","51","-0.5920234506079309","0.2163135807508875"
"170","88","28","54","-0.6190194735414905","0.046786510353664955"
"180","92","32","56","-0.5993571124310724","0.21090723291752514"
"190","96","35","59","-0.6162486032684817","0.15334409109840597"
"200","101","37","62","-0.5910415603456478","0.22261853601801693"
"210","108","39","63","-0.6126518385418146","0.15222031628163007"
"220","112","40","68","-0.5335451443801649","0.28535315052320104"
"230","116","44","70","-0.4850181154254093","0.3713951336057897"
"240","123","44","73","-0.618870213621951","0.1400870818592939"
"250","129","45","76","-0.5762292533145452","0.24257889646166247"
"260","131","50","79","-0.6293441564588481","0.025533118582205767"
"270","136","51","83","-0.5924349819157927","0.22283202476352262"
"280","140","52","88","-0.611483315254208","0.18752171199990209"
"290","144","52","94","-0.6106612416807684","0.14505698082083074"
"300","149","55","96","-0.6213407838616988","0.04311122096006201"
"310","154","58","98","-0.6184151562428588","0.14624077150722367"
"320","162","58","100","-0.6209800890453273","0.04376053272354291"
"330","165","63","102","-0.5807588385217327","0.24450959012205642"
"340","168","67","105","-0.5982356666311167","0.16728628527586062"
"350","172","71","107","-0.6290074218498579","0.02652837861955747"
"360","176","72","112","-0.6301381016151022","0.041312456175155624"
"370","179","75","116","-0.6061844178374357","0.1910135396695392"
"380","185","77","118","-0.6215598325270412","0.1329357405596059"
