"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","1","6","-0.6188698026133835","0.13962093753548901"
"20","9","3","8","-0.5628164358055328","0.3121170781946204"
"30","16","5","9","-0.6309580219721197","0.040526989452012184"
"40","19","7","14","-0.5792634387519238","0.24721492382705135"
"50","25","10","15","-0.5325957980429242","0.33726283151988606"
"60","29","12","19","-0.4314316323514232","0.4540478878092215"
"70","37","13","20","-0.6334451007104996","1.031179563400697E-5"
"80","41","14","25","-0.568394626474769","0.23748476573256724"
"90","47","16","27","-0.6298483615816212","0.04191761595876021"
"100","50","17","33","-0.5006027722155421","0.3387458336507597"
"110","54","20","36","-0.6029999800848984","0.1926542753948484"
"120","59","22","39","-0.579635052132127","0.22688564915268195"
"130","67","22","41","-0.6217023209223647","0.04253267463303862"
"140","73","25","42","-0.6104513843739111","0.15175240484608232"
"150","78","26","46","-0.6142546823504368","0.1718820119511921"
"160","82","28","50","-0.6319014333896399","0.016072169596769794"
"170","85","31","54","-0.6011383330889153","0.17095201839687357"
"180","91","32","57","-0.6308250590030344","0.03996756272591727"
"190","96","35","59","-0.6323520601716165","0.012878963745752401"
"200","101","39","60","-0.6273498900329428","0.031050146683146634"
"210","105","42","63","-0.6244828036902693","0.05080495157532804"
"220","112","44","64","-0.6330180752095714","0.007452087769159209"
"230","118","46","66","-0.5983562234735456","0.1873893919416743"
"240","121","47","72","-0.6271397999887073","0.04666640561852781"
"250","130","47","73","-0.6177518453651873","0.13829151218830196"
"260","133","51","76","-0.612595079554525","0.1808665870533922"
"270","138","53","79","-0.6114847756085753","0.16394895169355286"
"280","143","55","82","-0.6213426964618757","0.04311040306436445"
"290","148","58","84","-0.5997590215295726","0.21621143307600965"
"300","152","61","87","-0.616763020518702","0.14248908216357128"
"310","160","62","88","-0.6087525268080568","0.1503430027418069"
"320","163","62","95","-0.5515166593976322","0.2722335234828816"
"330","166","66","98","-0.5758750060981085","0.24106635274421992"
"340","172","67","101","-0.5933255138419374","0.20939381501358234"
"350","175","67","108","-0.5877901784548805","0.23761740496971018"
"360","180","69","111","-0.628474428167036","0.044382764669740504"
