"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","4","3","3","-0.5949876047581903","0.2515309336159362"
"20","9","6","5","-0.5515816562404116","0.3260288384539942"
"30","14","7","9","-0.6189092703297657","0.058275181100112566"
"40","18","9","13","-0.5828839410700285","0.24610438933031317"
"50","24","10","16","-0.6177881206115715","0.14439642816798104"
"60","29","11","20","-0.6013636846723245","0.1707505635213132"
"70","34","11","25","-0.6073349311087847","0.1573653484062488"
"80","40","11","29","-0.5859699929900726","0.21113933476523242"
"90","47","13","30","-0.6291272607491265","0.04317548693108005"
"100","53","13","34","-0.6167881723588295","0.06057389363472836"
"110","56","14","40","-0.6197913983362223","0.05708443722662315"
"120","61","15","44","-0.618799312606777","0.05826786934630137"
"130","66","17","47","-0.6076091251494649","0.17640650842229869"
"140","68","19","53","-0.6031320215697014","0.1734986888528534"
"150","76","21","53","-0.6277993094986465","0.045543209511117164"
"160","84","23","53","-0.6267938038476992","0.04721378574444757"
"170","88","27","55","-0.6125843838574739","0.16754821518011756"
"180","93","30","57","-0.6205246981565249","0.14323150821783978"
"190","98","32","60","-0.611397282441542","0.1467517004067447"
"200","103","33","64","-0.6308013282769528","0.03997465597518801"
"210","108","34","68","-0.6110623814535274","0.1746020487391835"
"220","114","37","69","-0.6178002313109291","0.0594166339204767"
"230","118","38","74","-0.5566915502357827","0.2889340090740307"
"240","123","42","75","-0.608198436865779","0.14828628148921255"
"250","126","44","80","-0.5460350568985031","0.29101448229897897"
"260","132","45","83","-0.6194562581388299","0.05748318838124073"
"270","138","47","85","-0.6294666705038815","0.04256485189916164"
"280","143","49","88","-0.580212004283963","0.2362060553157228"
"290","148","50","92","-0.6277992571709268","0.0455409531325436"
"300","153","51","96","-0.6304655505096662","0.04064171037414181"
"310","158","54","98","-0.628797396441925","0.04378669144090785"
"320","161","56","103","-0.5929392363746705","0.18212206212848697"
"330","166","57","107","-0.6169165323123034","0.1543729678313618"
"340","169","60","111","-0.6026266060175091","0.1981391033390218"
"350","174","60","116","-0.5550031209915215","0.26256258349538364"
"360","180","60","120","-0.6294634335528247","0.04256533537008213"
"370","185","60","125","-0.6033888229800306","0.19595104249442566"
"380","189","61","130","-0.5517412964484603","0.3067654894670399"
"390","195","62","133","-0.6187949960952878","0.058267671993830886"
"400","201","65","134","-0.6177666961802707","0.1536891116795185"
"410","207","66","137","-0.6277997751291549","0.04553945073956839"
"420","212","68","140","-0.5967271933154619","0.21346780260361967"
"430","218","68","144","-0.6003609483995603","0.19915975657298032"
"440","223","68","149","-0.6281040791436653","0.045019354212028226"
"450","230","70","150","-0.6157874243471907","0.06165262775817319"
"460","235","72","153","-0.6301329594774983","0.04129569359842032"
"470","239","76","155","-0.6142627447621043","0.16841597128359384"
"480","242","78","160","-0.6034572603746045","0.165422441800485"
"490","247","80","163","-0.5821115387493292","0.21909771995611535"
"500","255","82","163","-0.6277819477140745","0.04556973221879375"
