"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.2224641238152016","0.5984134076481171"
"20","11","2","7","-0.6186297212384738","0.0585771832691991"
"30","17","5","8","-0.6330125008294932","0.007460564152573146"
"40","21","6","13","-0.6075974586398063","0.15634945763058558"
"50","23","7","20","-0.6058729193997808","0.16844180722403831"
"60","29","7","24","-0.6121321006601818","0.1658855140126881"
"70","30","8","32","-0.5200358185584235","0.335862047648881"
"80","36","9","35","-0.5798331539489517","0.21982860588692676"
"90","40","12","38","-0.6152730715720236","0.16623873230917954"
"100","43","15","42","-0.5553221402632186","0.278492608136302"
