"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","7","1","2","-0.5751266884885102","0.24845386783883594"
"20","11","2","7","-0.4383736891362242","0.45069641529340787"
"30","17","4","9","-0.5239287296068271","0.3463209953776026"
"40","19","6","15","-0.4856109959404188","0.39852834222328526"
"50","23","7","20","-0.52425376936509","0.3399207953270771"
"60","27","10","23","-0.5362517922455411","0.31065205188904876"
"70","32","12","26","-0.5912344732627394","0.2277416484729586"
"80","38","14","28","-0.5978251491637564","0.20628170005109198"
"90","42","17","31","-0.630157911551851","0.04128947998422615"
"100","48","18","34","-0.5994903853769132","0.1994927940335642"
"110","52","22","36","-0.6298095689499958","0.0419328841951305"
"120","55","24","41","-0.5844039669030535","0.22960219258393139"
"130","59","25","46","-0.601844430564203","0.1946812421575571"
"140","62","27","51","-0.5998576224413764","0.21291353240341895"
"150","65","30","55","-0.5274937709668742","0.3300010929697778"
"160","72","30","58","-0.6168074207688057","0.1581408589188444"
"170","80","31","59","-0.6288049544959774","0.043784654331325015"
"180","84","34","62","-0.5845658146263172","0.2166231601624938"
"190","86","37","67","-0.5760765908283824","0.22144616444556198"
"200","90","40","70","-0.5759991687366139","0.23475604008653522"
"210","95","41","74","-0.6304716693785644","0.04064007498186251"
"220","101","42","77","-0.6170436314390856","0.1422971809648554"
"230","106","44","80","-0.5781400850103922","0.24592801963078031"
"240","110","46","84","-0.4999439566370098","0.3584904332281761"
"250","115","50","85","-0.5060371528197338","0.35675642996578033"
"260","119","52","89","-0.5894655510786546","0.21715809709674416"
"270","123","53","94","-0.5910716428988706","0.20245549747316866"
"280","128","55","97","-0.573620991003277","0.27255029062202196"
"290","134","58","98","-0.627465300920732","0.046109419886289096"
"300","141","60","99","-0.6178031735430851","0.059412887918688345"
"310","149","60","101","-0.6207884422761987","0.0558399894735961"
"320","154","63","103","-0.564405308702987","0.2576337375495111"
"330","162","63","105","-0.6291353260396196","0.04318036667773598"
"340","167","64","109","-0.5850787990608693","0.20776634412981507"
"350","173","66","111","-0.617795017042924","0.05943508152727316"
"360","178","67","115","-0.629133074535861","0.04318155065915824"
"370","181","69","120","-0.6141339261652156","0.16547056110064554"
"380","185","70","125","-0.5525192527967249","0.3005318163938237"
"390","187","72","131","-0.6091403762161713","0.1565574241681543"
"400","195","73","132","-0.6308036683049737","0.0399738193165608"
"410","201","75","134","-0.5969411098901075","0.19746012994307247"
"420","208","77","135","-0.6123849532615648","0.1651156965235134"
"430","215","78","137","-0.6025119674976317","0.16547313247661913"
"440","222","79","139","-0.616118507777722","0.06130534724854183"
"450","228","80","142","-0.6277978990958203","0.04554531514788011"
"460","237","81","142","-0.6304685968656655","0.04064162648923915"
"470","243","82","145","-0.6124231356950645","0.1549893664715086"
"480","249","84","147","-0.6195456015331424","0.14972985308099704"
"490","255","86","149","-0.6112439908064691","0.17863261916084308"
"500","260","87","153","-0.6267964343555831","0.04721831677440462"
