"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","1","4","-0.2944863394039226","0.4391525301333813"
"20","13","1","6","-0.6308176064823728","0.04351721418740994"
"30","19","3","8","-0.6198812969386976","0.1385051265818971"
"40","24","6","10","-0.6186315446811451","0.058618062681776356"
"50","27","9","14","-0.6175646017444574","0.1533064754357643"
"60","32","12","16","-0.6301723966453178","0.041282818448547205"
"70","38","16","16","-0.6021904088089094","0.19826806236827196"
"80","43","20","17","-0.6284782977258664","0.04437587077770465"
"90","48","22","20","-0.6281342102830975","0.04500366271199941"
"100","52","24","24","-0.617143978021224","0.06017585996573679"
"110","58","26","26","-0.6174770302727063","0.05979227323310463"
"120","64","28","28","-0.5902997985808164","0.21080504190639687"
"130","71","29","30","-0.6095230305925798","0.1858081211357105"
"140","76","32","32","-0.603978615686423","0.19821874523894167"
"150","83","32","35","-0.5466667561853418","0.2944636759102651"
"160","87","36","37","-0.5769798280379157","0.2472942292664707"
"170","92","39","39","-0.5780256146979037","0.2696323234314343"
"180","97","42","41","-0.601242707427596","0.21549769099356883"
"190","101","44","45","-0.5871697292590975","0.20725350794929687"
"200","106","45","49","-0.6056526157141169","0.18961331150722976"
"210","111","45","54","-0.5884793099762143","0.23125142383200742"
"220","116","49","55","-0.630137706286644","0.041295295971047044"
"230","120","52","58","-0.5803021083019612","0.22172819276526695"
"240","123","54","63","-0.6001828239373755","0.18546641436062092"
"250","126","56","68","-0.5874554975692423","0.19765668088693086"
"260","135","57","68","-0.588045521886087","0.2109914219682535"
"270","140","61","69","-0.6042779654613977","0.15230583056213223"
"280","142","65","73","-0.6177852207633313","0.059458958135339635"
"290","148","67","75","-0.5735633641153911","0.24143748779519805"
"300","154","67","79","-0.5975267291027726","0.1846864361707767"
"310","161","67","82","-0.6304692284121746","0.0406416088632668"
"320","166","69","85","-0.6014845533340526","0.1678109705829047"
"330","171","70","89","-0.5882476033150056","0.25818914003568333"
"340","176","71","93","-0.6174657461593834","0.05979970934927306"
"350","181","75","94","-0.6047844406004802","0.16127366660382192"
"360","188","76","96","-0.5888353464316728","0.24626969569568288"
"370","191","79","100","-0.6180012592615536","0.150924776660635"
"380","193","81","106","-0.6191296970011061","0.05787269473466929"
"390","196","83","111","-0.6284676025844163","0.04438316291871471"
"400","203","85","112","-0.6291341652952249","0.04318122701806264"
"410","210","86","114","-0.603578510433885","0.1631218629992433"
"420","215","88","117","-0.6294604285561783","0.04260038561754266"
"430","219","88","123","-0.6164636581750609","0.06091378367616629"
"440","223","92","125","-0.5858554380833089","0.2563127409649955"
"450","227","93","130","-0.6294679083834411","0.04256491396709597"
"460","231","95","134","-0.6294677804007675","0.042564754689458806"
"470","237","96","137","-0.5963134000139693","0.2170929746511226"
"480","243","98","139","-0.6298003535284246","0.04193581914045468"
"490","247","100","143","-0.6114531885209318","0.07039038796630792"
"500","253","102","145","-0.6197980278288877","0.05706087788307741"
