"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","2","3","5","-0.5122475519005233","0.4187165960940785"
"20","7","6","7","-0.630663856577119","0.040499432562338115"
"30","11","7","12","-0.6021111647793973","0.19425126047013067"
"40","16","9","15","-0.6301566001564389","0.0412736591999898"
"50","20","12","18","-0.6137232047501477","0.16008953232292777"
"60","28","13","19","-0.6200147945664177","0.14060132263494438"
"70","31","17","22","-0.604049232547111","0.20667515255422486"
"80","37","18","25","-0.6330047638360974","0.007444759430000921"
"90","43","18","29","-0.606764720206467","0.15032497409097206"
"100","47","21","32","-0.5467056729782189","0.3005113523504756"
"110","52","24","34","-0.6005087136565015","0.16666853995967568"
"120","54","28","38","-0.6209737280110266","0.043726295989202135"
"130","58","31","41","-0.5960527751226891","0.2168589921016032"
"140","61","33","46","-0.5282178444354019","0.33888030315000317"
"150","66","35","49","-0.5847537964543408","0.2145036549947076"
"160","69","37","54","-0.5760467926847666","0.23515258538685552"
"170","73","41","56","-0.6184675489103978","0.058649007303945885"
"180","75","45","60","-0.5225384762859403","0.3432776792772927"
"190","82","46","62","-0.6293244667420157","0.025523425492267222"
"200","85","48","67","-0.522416866004531","0.3444084829879193"
"210","89","50","71","-0.5279434902488753","0.3098519380041995"
"220","93","54","73","-0.5832102817098007","0.23681943602194544"
"230","100","56","74","-0.6095337398663013","0.15345582185317447"
"240","107","57","76","-0.6292821103426185","0.025602770258063883"
"250","112","57","81","-0.603657337210878","0.1989424028992213"
"260","117","60","83","-0.5974575864998354","0.17732585547151314"
"270","120","64","86","-0.5463618833791516","0.3029801724087005"
"280","121","66","93","-0.6226426568000979","0.04088518816158402"
"290","126","66","98","-0.6221333633676649","0.0540831745700219"
"300","132","69","99","-0.612124193121401","0.17302595677639948"
"310","135","72","103","-0.6193053678316509","0.04633839673146903"
"320","141","72","107","-0.6183273623458212","0.0477232072803156"
"330","147","74","109","-0.602634480835413","0.15732638176038966"
"340","152","78","110","-0.6076988813079738","0.14871031255418152"
"350","155","81","114","-0.4938187099649071","0.37268078310354485"
"360","159","82","119","-0.6304654335426044","0.04064222493914704"
"370","163","84","123","-0.6306639330934376","0.02092278646937185"
"380","168","87","125","-0.6223300962050614","0.041403113428204304"
"390","175","87","128","-0.6329999361916647","0.007448431570458788"
"400","179","90","131","-0.5596035346318262","0.2685768762438231"
"410","182","92","136","-0.597195499983121","0.18311374286137008"
"420","189","92","139","-0.6329944054944131","0.007483665858724667"
"430","192","95","143","-0.5625654478507169","0.2882708717457075"
"440","195","98","147","-0.5359145930153897","0.31911745000006975"
"450","199","102","149","-0.6277995286875901","0.04554097964493103"
"460","202","103","155","-0.6069225140817873","0.18341605462158242"
"470","206","106","158","-0.5766003793485246","0.2551832002336667"
"480","213","107","160","-0.613266394565395","0.17639748694347152"
"490","219","111","160","-0.608782902243364","0.20386525450391604"
"500","223","114","163","-0.6053373088683821","0.16110948419514604"
"510","229","115","166","-0.5917187417414302","0.21448177414752675"
"520","232","116","172","-0.5032784455794321","0.32258092103324404"
"530","236","118","176","-0.6139316929665749","0.13665840505478216"
"540","239","120","181","-0.5316210801209027","0.32951889504910103"
"550","242","120","188","-0.6301336180867065","0.04129575275120772"
"560","246","124","190","-0.5998779135448802","0.17605124252936227"
"570","251","127","192","-0.6333339668120965","6.780289312423412E-7"
"580","256","129","195","-0.611797749424133","0.1670118728769909"
"590","264","130","196","-0.6035957842757159","0.17069397935712793"
"600","269","131","200","-0.6151292039093249","0.06233671737598817"
"610","276","132","202","-0.6079319414813654","0.17859837838258974"
"620","284","134","202","-0.620917967243446","0.043930969875294816"
"630","291","135","204","-0.6007770125645991","0.1759669168100292"
"640","297","138","205","-0.5769154825005365","0.23029644297215496"
"650","305","139","206","-0.6320000526518009","0.014850113682596026"
"660","308","142","210","-0.5519399944439989","0.3158619544380815"
"670","311","143","216","-0.5647015998480386","0.2520331696062608"
"680","315","145","220","-0.6326662959042206","0.01054188703883834"
"690","320","147","223","-0.6226548080560461","0.0408529250795641"
"700","326","148","226","-0.6177950935352526","0.14312465875627609"
"710","330","152","228","-0.5821823686305314","0.23511801766958082"
"720","334","153","233","-0.6167731290255718","0.06060764801378463"
"730","338","156","236","-0.535549989481202","0.3143067190844594"
"740","341","157","242","-0.5894304959245332","0.20294526436738705"
"750","345","157","248","-0.6202115821981553","0.04513743112507372"
"760","350","159","251","-0.6068285031707145","0.19090450931617736"
"770","354","162","254","-0.6323311411258457","0.012908412257464556"
"780","360","162","258","-0.5950208292481457","0.21793754172627264"
"790","363","165","262","-0.5902802506620773","0.22956217364354925"
"800","369","168","263","-0.6199929623786867","0.045240544324051626"
"810","376","169","265","-0.5789171881636899","0.23354079528306132"
"820","381","170","269","-0.5935971082478267","0.20633439006556756"
"830","388","171","271","-0.629999435215541","0.023335901393202924"
"840","391","174","275","-0.6330000549007733","0.007448090245421597"
"850","394","179","277","-0.5545082136984271","0.2896970284002984"
"860","398","182","280","-0.569923814156015","0.25793021040243475"
"870","406","183","281","-0.6102866280443222","0.14355218031868958"
"880","410","185","285","-0.5763979329586432","0.24817407576469516"
"890","415","187","288","-0.6080979970980538","0.17803882809452218"
"900","417","192","291","-0.5369134215181425","0.3086388311394971"
"910","423","193","294","-0.5789956896873398","0.21272869696830676"
"920","426","193","301","-0.6153260200465754","0.15411766968927992"
"930","431","196","303","-0.6026366595315603","0.1968073269189393"
"940","436","199","305","-0.6309963756230507","0.01959513237290345"
"950","438","202","310","-0.5825103386473227","0.23616669891154413"
"960","441","206","313","-0.622397544555032","0.13991205501818274"
"970","446","208","316","-0.6161190412238766","0.06130082577150971"
"980","452","208","320","-0.6159301201453217","0.1598302629193303"
"990","457","210","323","-0.6182969515865584","0.04781775005503592"
"1000","463","210","327","-0.6296597281171412","0.02447590849854763"
