"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","0","3","7","0.42848695891534616","0.18971182994330796"
"20","5","6","9","0.12314642758775701","0.5823347545706549"
"30","11","6","13","-0.5931560563831395","0.21526217949213383"
"40","16","8","16","-0.5879568569505229","0.23257118105232882"
"50","20","9","21","-0.6081920723521119","0.15135339056933425"
"60","26","10","24","-0.5338838977474004","0.3679039893211602"
"70","35","10","25","-0.6302273519110146","0.04127141485339555"
"80","40","12","28","-0.6179703414990226","0.14091466144668427"
"90","42","15","33","-0.5974630521977894","0.21445675047306575"
"100","46","17","37","-0.5437213599125702","0.3245445444917794"
