"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","4","2","4","-0.617491728702051","0.0597809387432562"
"20","12","3","5","-0.6184807550883482","0.05863417715879476"
"30","18","3","9","-0.627462001590055","0.04610654383371115"
"40","21","3","16","-0.608652066443008","0.18024327309415433"
"50","27","4","19","-0.6007220431627117","0.17498937646580826"
"60","31","5","24","-0.6110489054423469","0.14701414959713033"
"70","36","8","26","-0.6113689398394772","0.11171361821676652"
"80","43","10","27","-0.5921194376667713","0.1991826281881135"
"90","48","13","29","-0.6115679526029255","0.17884020435701228"
"100","50","16","34","-0.5047428621553861","0.34048487616688966"
"110","55","16","39","-0.5426726485397759","0.26521407582894296"
"120","62","17","41","-0.6027086722508405","0.16430812293119157"
"130","67","17","46","-0.5857110434148937","0.22761971454584073"
"140","71","18","51","-0.6107857578941076","0.16368658701684938"
"150","76","21","53","-0.5941739388215156","0.1908610051327158"
"160","82","22","56","-0.6194554817553389","0.05748715120850524"
"170","87","25","58","-0.6304643560736574","0.04064418919913764"
"180","91","28","61","-0.6002496256397367","0.18984072988047243"
"190","96","29","65","-0.6144586062208689","0.06303148971456676"
"200","104","29","67","-0.611122129426493","0.14213851678500808"
"210","109","31","70","-0.6085317934124445","0.18777917313813805"
"220","111","33","76","-0.5854347695021593","0.23756379475628342"
"230","116","33","81","-0.6291317135573101","0.043182885331357425"
"240","122","34","84","-0.6120608578899198","0.15338875361903578"
"250","127","35","88","-0.5949245661183675","0.19731659185228737"
"260","131","37","92","-0.618694611604227","0.058531107724253725"
"270","137","37","96","-0.6173867225903392","0.05999296573194532"
"280","142","40","98","-0.6101792069284079","0.17529414863296522"
"290","146","42","102","-0.6164656817573323","0.1597153708599527"
"300","150","43","107","-0.5939309909426363","0.21330008907162631"
"310","153","45","112","-0.5590574806424653","0.2701465423402955"
"320","159","47","114","-0.6003910565413975","0.1981835293942131"
"330","163","48","119","-0.5785960052402843","0.24946614924741536"
"340","169","50","121","-0.6177966959020506","0.05942076322694383"
"350","174","51","125","-0.6304621105748011","0.04064740966169188"
"360","179","53","128","-0.5883743690320606","0.2313816407180703"
"370","183","54","133","-0.6191252900744229","0.057876981870464674"
"380","191","55","134","-0.6271271731339343","0.04667318267746581"
"390","194","58","138","-0.6188630347338184","0.15279661649702997"
"400","201","59","140","-0.62979931470884","0.04193689186484793"
"410","209","60","141","-0.6304660570824949","0.040642653714590325"
"420","214","64","142","-0.6167981574128759","0.060538903795225966"
"430","217","65","148","-0.554938534165431","0.3108368787787577"
"440","222","68","150","-0.5883940905348537","0.2259478649773175"
"450","229","68","153","-0.6287894925725894","0.0438130187209705"
"460","233","70","157","-0.5753261828223118","0.25308929125126534"
"470","238","72","160","-0.5219222417947365","0.28978737869572146"
"480","246","73","161","-0.6281299067420365","0.04497022678319155"
"490","253","75","162","-0.6095300119615633","0.1446417637940387"
"500","258","75","167","-0.6135980430174983","0.16269178619603106"
