"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","3","2","-0.4712247387614001","0.4474536278311426"
"20","9","3","8","-0.6178630083674722","0.15811419136974111"
"30","15","4","11","-0.6293211681939873","0.025527588963651815"
"40","17","6","17","-0.6284362784872004","0.04437621011118056"
"50","23","7","20","-0.6320054477212074","0.014867327226529883"
"60","28","9","23","-0.600794921455478","0.21791203117019997"
"70","33","10","27","-0.618662767128462","0.04728265438262919"
"80","39","11","30","-0.5948739676666903","0.22356355643118106"
"90","43","13","34","-0.5690241719951564","0.2561282964988388"
"100","49","15","36","-0.6015463122051057","0.17200874086567"
"110","54","16","40","-0.6087198489307676","0.14534688860258832"
"120","57","19","44","-0.6059888873023261","0.19047527884771592"
"130","63","21","46","-0.6007082277702324","0.17136215973293453"
"140","66","21","53","-0.5757875089993026","0.24911897141904316"
"150","70","22","58","-0.6221353754407914","0.054096426004261296"
"160","77","22","61","-0.6326642435932109","0.010594748329262648"
"170","80","25","65","-0.5888497241288113","0.2248062795470835"
"180","84","27","69","-0.6201999929111774","0.15299602643073962"
"190","91","28","71","-0.6027064321836356","0.1689594697622004"
"200","94","30","76","-0.6090998214848204","0.15672615894999303"
"210","97","32","81","-0.4820230257384805","0.34706565490429636"
"220","104","32","84","-0.619195206114024","0.15312153041489437"
"230","108","32","90","-0.5863798403831311","0.20690914095934132"
"240","113","35","92","-0.6292568962285943","0.02577933098076933"
"250","116","38","96","-0.5507553003413995","0.26841202098799494"
"260","121","40","99","-0.6167958664153377","0.06055161398071209"
"270","124","41","105","-0.6157646835215762","0.15594711177983103"
"280","132","42","106","-0.598326641116596","0.22120024665856242"
"290","136","42","112","-0.590369550484419","0.2182120861268113"
"300","142","44","114","-0.6001854282185451","0.1695476679090099"
"310","148","45","117","-0.6193762737465317","0.05770870592700813"
"320","151","48","121","-0.6137795851760233","0.17274449677209278"
"330","157","50","123","-0.6023517234493535","0.16450856572406053"
"340","163","51","126","-0.6196587886987207","0.045761460409910526"
"350","166","52","132","-0.5895152676090475","0.20296385798864197"
"360","172","53","135","-0.621662577771375","0.042543167386780205"
"370","177","54","139","-0.5983710671495257","0.22433763929762493"
"380","182","56","142","-0.5568038627025118","0.2823772442951082"
"390","187","59","144","-0.6010878814547639","0.17298908507400562"
"400","195","60","145","-0.6309854140084267","0.019677953096148577"
"410","200","61","149","-0.6316527013233081","0.016665051552434224"
"420","204","65","151","-0.5561698886104299","0.260716921786014"
"430","207","66","157","-0.6293276289678136","0.0255284684588416"
"440","214","66","160","-0.6219884899926982","0.04201477019202579"
"450","216","67","167","-0.6001879744420129","0.2017124696411595"
"460","222","68","170","-0.575059939686715","0.25098473070488425"
"470","227","68","175","-0.627791584507677","0.04555360566741938"
"480","233","69","178","-0.578189605828762","0.2523039576661656"
"490","239","69","182","-0.6136497184132133","0.14014831945124911"
"500","244","71","185","-0.6276073068457435","0.030505303382820044"
"510","249","72","189","-0.6046574193805071","0.15832039519646243"
"520","251","76","193","-0.5361958818096333","0.32378168099427"
"530","256","79","195","-0.6193318308884243","0.14953309577486482"
"540","259","82","199","-0.5865225548340339","0.24508066729011566"
"550","266","83","201","-0.6188718264813764","0.04715020251715138"
"560","269","84","207","-0.5805647551839552","0.23969625265737207"
"570","273","87","210","-0.5997281728980087","0.17877976629638942"
"580","279","90","211","-0.605401733509396","0.19538920031658566"
"590","285","91","214","-0.6323296380792732","0.012906826519966146"
"600","289","94","217","-0.6297993243234653","0.04193664734107509"
"610","294","96","220","-0.613461079438203","0.1673902020157081"
"620","302","98","220","-0.6177982450616571","0.05941858303482774"
"630","306","101","223","-0.6191967579834727","0.15546683560684607"
"640","314","103","223","-0.5856781692776643","0.25157439120529296"
"650","318","106","226","-0.6026945822197094","0.20452545502858432"
"660","323","109","228","-0.6316662921950963","0.016587374573300635"
"670","328","111","231","-0.5847905698822344","0.21380251299624223"
"680","332","113","235","-0.6199861109405326","0.04526932183638383"
"690","337","114","239","-0.6213253079822775","0.04311039018492086"
"700","339","118","243","-0.5628447125623349","0.2557413882439739"
"710","343","120","247","-0.6329990679308066","0.007480799769751699"
"720","345","123","252","-0.45594705277953224","0.39747802147284345"
"730","351","126","253","-0.6158374622845364","0.15693006770082"
"740","356","127","257","-0.6319981203402174","0.014861496161985073"
"750","362","129","259","-0.6237125601170647","0.041120614691334836"
"760","367","131","262","-0.5820664292580437","0.24212970432131775"
"770","372","131","267","-0.6199965282538055","0.1475134277064096"
"780","377","133","270","-0.6209893983562567","0.04367056812552941"
"790","381","134","275","-0.6185293385614371","0.14890654788041338"
"800","390","134","276","-0.6192965595727983","0.046359319162230225"
"810","394","137","279","-0.6303076038089059","0.022276090523598982"
"820","397","139","284","-0.5951955251137852","0.205414129829566"
"830","402","141","287","-0.5605166328278973","0.2671019835625835"
"840","404","146","290","-0.6292734926866517","0.025843423957975228"
"850","411","148","291","-0.6202414936895098","0.04501953535841062"
"860","417","149","294","-0.6081886095371106","0.154821282370513"
"870","423","149","298","-0.6196333992377119","0.045838281960462766"
"880","429","152","299","-0.5939287659242101","0.20169092703953068"
"890","434","154","302","-0.5787929551168979","0.22703537298117213"
"900","440","157","303","-0.6189775816197706","0.04680212722102655"
"910","447","159","304","-0.6108491400507687","0.1546027620957753"
"920","452","161","307","-0.6120657594766492","0.17527038226928568"
"930","458","163","309","-0.6045956782905951","0.18368505520126296"
"940","462","168","310","-0.6041314300573087","0.2039136596655343"
"950","466","169","315","-0.631325138573727","0.01817701771804199"
