"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","4","3","-0.5793303401597659","0.2977758348669457"
"20","7","5","8","-0.6205684706060081","0.05631305871404081"
"30","10","6","14","-0.6312820079227686","0.01818786468055222"
"40","13","7","20","-0.6027321131541792","0.19038951514491603"
"50","20","8","22","-0.6076809710183858","0.16296730864994446"
"60","25","9","26","-0.5902342716641278","0.20313516962393863"
"70","29","12","29","-0.6223430452666245","0.041394398005813994"
"80","34","14","32","-0.6196765440964354","0.045754222916135866"
"90","38","16","36","-0.6304791053007786","0.040637510104844614"
"100","41","18","41","-0.6329969771059424","0.007462119986284774"
