"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.611371206328638","0.1607362199902227"
"20","9","6","5","-0.6299631950836518","0.041845073744222576"
"30","11","6","13","-0.6319307195636152","0.014847544488385987"
"40","16","7","17","-0.6103266031517962","0.17954761691328217"
"50","21","8","21","-0.6299775834705358","0.023350219997006122"
"60","25","12","23","-0.5293217914274582","0.35019715525795714"
"70","29","13","28","-0.6316674867528975","0.01658504888864545"
"80","31","17","32","-0.5920718685008622","0.2100172803011256"
"90","35","18","37","-0.596000485069612","0.1961750109302199"
"100","39","23","38","-0.6058514511854303","0.19186410648552302"
