"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.5838853763211128","0.26314910344410863"
"20","10","4","6","-0.5157709807536661","0.36893526835404744"
"30","15","6","9","-0.6190722845374348","0.0467297143212518"
"40","20","9","11","-0.6333204348713124","5.075989470146933E-5"
"50","25","12","13","-0.6326738278310069","0.010542274981455983"
"60","32","13","15","-0.5993411874332907","0.2026207528731985"
"70","34","17","19","-0.5921802146194282","0.22620352762090995"
"80","41","18","21","-0.6043348198313282","0.1708303857960814"
"90","46","20","24","-0.605047801812474","0.17360493871443688"
"100","48","23","29","-0.4765844786759699","0.4067227452921536"
