"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","6","2","2","-0.6140631196587638","0.17832936049229406"
"20","8","7","5","-0.5771141232809494","0.2620358551555447"
"30","11","8","11","-0.5592626999559327","0.27849734264229614"
"40","13","10","17","-0.6323404490743897","0.012880570160192827"
"50","17","11","22","-0.5594148465163423","0.27194504100763933"
"60","21","14","25","-0.6195129766134302","0.14460479289920403"
"70","25","16","29","-0.6184592091883961","0.05869082690083079"
"80","29","20","31","-0.5987374042718534","0.18773076625306015"
"90","38","20","32","-0.6320021029720867","0.014856538941985383"
"100","41","21","38","-0.5581232817282288","0.25886626812395186"
