"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","1","4","-0.5522819380413889","0.29893302254454096"
"20","13","2","5","-0.4447831150090663","0.46818028617291585"
"30","16","4","10","-0.5798241332547663","0.2117437899486418"
"40","19","5","16","-0.5039525696669374","0.3401051760743664"
"50","21","11","18","-0.6213439412743705","0.043143681607974896"
"60","28","11","21","-0.6213773223816129","0.13638100766639716"
"70","34","14","22","-0.6326889248340063","0.010684539861711174"
"80","38","19","23","-0.6309740026194558","0.019612053050202135"
"90","43","21","26","-0.5937422368837677","0.21918769607029898"
"100","49","23","28","-0.6301329305313964","0.04131626941915527"
