"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.558266411047785","0.30600647947208354"
"20","10","3","7","-0.6285019529249232","0.044348953637124815"
"30","14","4","12","-0.6319005144436244","0.014900673473620988"
"40","19","5","16","-0.6306323816123377","0.020965578228603152"
"50","24","6","20","-0.6164778637771199","0.060899585899474515"
"60","29","8","23","-0.6233940325693746","0.1393850636751084"
"70","35","9","26","-0.6196167936492678","0.04591220666661928"
"80","38","13","29","-0.6105939888511581","0.1430009141688952"
"90","45","14","31","-0.6203349053170697","0.04472092207810327"
"100","50","17","33","-0.6181345422269681","0.059049042518799354"
