"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","3","3","4","-0.5520856183438785","0.3322587011768417"
"20","6","4","10","-0.5874991383291701","0.22749205623607774"
"30","9","8","13","-0.5860323199491806","0.22119126036620146"
"40","12","10","18","-0.5745336985409282","0.25376304282910117"
"50","17","13","20","-0.5975732819188054","0.21553439685365805"
"60","22","14","24","-0.6157964689810176","0.061644226696384904"
"70","26","15","29","-0.6035826022039255","0.19871020421731211"
"80","30","16","34","-0.6162474283899908","0.1523088587593773"
"90","34","18","38","-0.6187823732227524","0.15115016113990676"
"100","37","20","43","-0.554011917443934","0.2631286458269859"
