"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","8","1","1","-0.3607964064950989","0.48389640356901337"
"20","12","6","2","-0.5280624105446198","0.35554323523911524"
"30","18","6","6","-0.5678929783545958","0.30416300058357276"
"40","22","7","11","-0.5999832541688568","0.22183756839286561"
"50","27","9","14","-0.6319830831703954","0.014863489493006168"
"60","34","10","16","-0.6304744724372912","0.040635315098391876"
"70","38","13","19","-0.5876207696899877","0.22777721038249726"
"80","45","15","20","-0.6291368291169303","0.04318100598755961"
"90","51","15","24","-0.6302917899748646","0.022313354566475943"
"100","56","18","26","-0.606996334989868","0.18680220268874362"
