"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.517602605271499","0.3896564415128618"
"20","12","4","4","-0.5099905135925639","0.37386763054914074"
"30","18","6","6","-0.5245823166842378","0.37979721211147577"
"40","25","8","7","-0.5313771760965441","0.364209705299893"
"50","32","9","9","-0.45758919800353237","0.4362298808545481"
"60","37","13","10","-0.31377012763276557","0.55684493322188"
"70","43","16","11","-0.17419214255224588","0.6149983618858356"
"80","46","21","13","-0.5841208827386796","0.24254977973922992"
"90","52","22","16","-0.6136552233338362","0.16211210462612205"
"100","57","25","18","-0.518631678495753","0.35380349755166307"
