"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","7","2","1","-0.5597934395673481","0.3404223008637577"
"20","13","4","3","-0.3232960511728665","0.3851713312361441"
"30","16","6","8","-0.6124462568688012","0.16280181103086666"
"40","20","8","12","-0.6301613164290989","0.04126979251175082"
"50","25","8","17","-0.6254672110000695","0.049319715810587396"
"60","28","8","24","-0.6132687218038945","0.1392550668444116"
"70","33","9","28","-0.6191375501529529","0.13584132962308093"
"80","35","12","33","-0.6124548108511056","0.16961016715142924"
"90","39","14","37","-0.59037411971667","0.20257579998857958"
"100","41","18","41","-0.6213924713651118","0.14260837654894182"
